text,true_label,chatgpt_prediction
"Lemesed patedik lomanefa in Cardington äbinon mö US$30 500 e lemesed patedik famüla äbinon mö US$36 823. Mans älaboms lemesedi patedik mö US$31 483, leigodü US$21 141 vomas. Lemesed „per capita“ (a pösod) äbinon mö US$14 057. Zao 16,5% famülas e 16,7% lödanefa lölik älifons dis pöfasoliad, keninükamü 22,1% utanas bäldotü lifayels 18 u läs 18 e 7,2% utanas bäldotü lifayels 65 u plu 65.",vol,epo
"To naselje je popolnoma srbsko (glede na rezultate popisa iz leta 2002), a v času zadnjih treh popisov je opazno zmanjšanje števila prebivalcev.",slv,slv
"Aita eta sasi-anaia izandako ospea irabazteko, neguan espedizio bat antolatzea bururatu zaio. Eslaviar eta arabiarrek kontra izateaz gainera eta, aholkulariek kontrakoa esan arren, iparralderantz jo zuen.",eus,eus
"1974 жылы Қызылорда қаласындағы №4 С.Сейфуллин атындағы орта мектепті алтын медальмен бітірді. Сол жылы В.И.Ленин атындағы Қазақ политехникалық институтына қабылданып, осы оқу орнын 1979 жылы үздік дипломмен бітіріп шығады. 1979-1980 жж. В.И.Ленин атындағы Қазақ политехникалық институтында стажер-зерттеуші.",kaz,kaz
"Калявӓрӓш (латинлӓ Falco tinnunculus) — вӓрӓш йиш кеквлӓн йыхыш пырышы изи хир кек. Шӹренжок Покшал Европышты, тенгеок Мары Элыштат ӹлӓ. Пӹтартӹш ивлӓн хала тӹрвлӓштӹ шӹренок ти кекӹм ужат. Лӹмжок анжыкта, ти вӓрӓш шукыжымок калям качкын ӹлӓ. Кого калявӓрӓш кечӹштӹ 10 каля якте качкеш. Ти кек южышты ик вӓрӹштӹ шалгаш мастар, лӹмӹнок качкышым кычымыжы годым тенге ӹштӓ дӓ вара трӱкок кӱ гань улӹкӹ шынгалтеш.",mrj,kca
"Македонија Ѓ.П. од секогаш имала навивачи зад себе, главно во жителите на тогашно Ханриево (сега Ѓорче Петров). Зачетоците на организираното навивање биле во 1988 година кога за првпат се појавиле транспаренти на Кокта, како што популарно се нарекува стадионот Ѓорче Петров. Сегашните навивачи, познати како Лавови се оформени во 1992 година. Во 2008 година формирана е првата а воедно и единствена подгрупа на навивачката група Лавови - Division Hanrievo. Идејата за формирање на подгрупата потекнува од желбата за подобрување на квалитетот и менталитетот на членовите на матичната група – Лавови, при што сите вистински навивачи на ФК Македонија Ѓорче Петров се обединија во една подгрупа. Името на подгрупата, доаѓа од старото име на населбата Ѓорче Петров, Ханриево.",mkd,mkd
"I so viaghji sò à u centru di a trama di u videughjocu ""Unearthed - Trail of Ibn Battuta"" sviluppatu da a Semaphore par PS3, Xbox360, PC, Smartphone è Facebook.",cos,ita
"raising-bilingual-children.com - webpage dedicated to educating children in a multilingual environment. Information/Recommendations, Forums, Links etc.",pap,eng
"Осылайша, сұрақты қоя берсек әрбір станоктың өзінің алдында оны жасаушы, алдыңғысынан қарапайым басқа станоктың бар екендігі келіп шығады. Егер әрбір станоктың пайда болу тарихын қозғай берсек, онда біздер орта ғасырдағы балға, егеу және төсті пайдаланатын ұстаханаға келіп тірелеміз.",kaz,kaz
"Spuots a aal faam a yuujali kampetitiv fizikal aktiviti ar giemz we, chuu cajual ar aaganaiz paatisipieshan, iem fi yuuz, mentien ar impruuv fizikal abiliti ah skil wails provaid injaiment tu paatisipant, ah ina som kies, entatienment fi spektieta.",jam,eng
"Эркинлик ючюн Американ Къазауатдан сора, американ миллет биринчи болуб, либерал кърал идеяны тамалында конституцияны джарашдырады, артыкъсызда бек правительство къралгъа оноу этилгенлени разылыгъы бла оноу этеди деген принципге бек эс бёлюнеди. Франуз буржуазия да, Уллу француз революцияны кёзюуюнде либерал принциплени тамалында правительство къураргъа кюрешеди. 1812 джылгъы испан конституцияны авторлары, испан абсолютизмге оппозицияды болгъандыла, ала биринчи болуб «либерал» сёзню, политика къымылдауну джандашларын белгилер ючюн хайырланыб башлагъандыла. XVIII ёмюрню ахырындан башлаб, либерализм бютеу айныгъан къраллада эм алчы идеологияланы бири болгъанды.",krc,lez
"Valičendad parlamentha da prezidentan valičendoiden ühtenz' tur oliba vl 2011 vilukun 31. päiväl, vn 2010 sodakukerdusen jäl'ghe. Prezidentan valičendoiden kahtenz' tur oli vl 2011 keväz'kun 12. päiväl. Mahamadu Issufu om nügüdläine prezident, sai 57,95% (nece hänen ühtenz' strok om).",vep,fin
"Tufillo iku sawijining comune lan kutha ing Province Chieti, region Abruzzo, nagara Italia. Jembar wewengkon 21 km2 kanthi padunung cacahé528 jiwa lan kapadhetan 26 jiwa/km2. Kutha iki wewatesan karo komunitas: Celenza sul Trigno, Dogliola, Mafalda (CB), Montemitro (CB), Palmoli, San Felice del Molise (CB)",jav,jav
"Wiesbaden miests pėitū Vuokītėjuo, pri Reina opės. 279 tūkst gīventuoju (2011 m.). Hessena žemės suostėnė. Uns īr ontrasis palē dėdloma Hessena miests pu Frankforta.",sgs,lit
"Dr Sisgau isch e Landkapitel vo dr Diözese Basel gsi. Under em Iifluss vo dr Reformazion z Basel si vom katholische Landkapitel nume no die Pfarreie übrigbliibe, wo im Kanton Soledurn glääge gsi si (Büüre, Seewe und Nuglar-St. Pantaleon) und s Frickdaal, wo de katholische Habsburger ghöört het.",als,gsw
"Kuvura abantu kanseri yo mu bihaha biri gutera imbere, ariko ntamuti wari waboneka. Ikingenzi wakora kugira ngo urinde ibibi abagicicije nawe ubwawe ni ukutankwa itabi. Na none, kureba niba irimo umwuka (gaze) bita radon, ni umwuka mubi ukaba ari uwakabiri mu gutera kanseri yo mu bihaha.",kin,kin
මේ ඖෂධය පුරුෂ කාන්තා කාටත් සුදුසුයි. ගර්භණී වුවත් කමක් නැහැ. හැබැයි සීනි වැඩිවීමේ ආබාධ වලින් පෙළෙන අයට යෝග්‍ය නැහැ. මේ ඔසුව ගත්තාම රාත්‍රීයට කාමය ප්‍රබෝධ වෙන නැඹුරුවක් තියනවා. ඒ නිසා දරුවන්ට දීම හරි නැහැ. මේ ඖෂධයේ නම නම් මේකට බර වැඩියි. නොමග යවන සුළුයි. අතිශෝක්තියයි. බලන්න රති විනෝද මෝදකය කිව්වාම කොච්චර පක්ෂග්‍රාහී ද කියලා. නමට බය වෙන්න එපා.,sin,sin
دئماتئر دئ صئید مئتی خو کورئوش مئهرألی خونئ أمیر مونأظئم ریاسأت دئ دأسئش بی، ألٛڤأتأ دئ ئی گا تیرأ جأهون سولٛطونی و قئری دئ طایفأیا ئیلٛئ حأسأنڤأند چی ئسکأندأر و بأسطام و قألٛأنأدأرحأبأشی و طایفأیا ألٛئ هونام و سأرابتألٛخ ڤئ سأردأسئی سأرهأنگ موٙسا خون ئدارأ موٙیأ، ئی دورون ڤا مئرافأ‌ مینئ سأرهأنگ موٙساخون و مئهر ألی خونئ أمیر مونأظئمئ گوذأشت و سی ئی خاطئر چأنگئلٛ قی سأختی مینئشو دأرگئرئت کئ یأکی دئشو جأنگئ نومدیارئ کۊ هونام بیأ کئ مئهرألی خون ڤا مأهتئ غولٛامرئضاخون ڤالٛی پوشتکۊ ڤئ طایفأیا جأهون سولٛطونی ئریشت کئرد کئ دئماخئر ڤا دئفا سأرهأنگ مأجبور ڤئ دئمارأتئ بی.,lrc,pes
دغه راز يي ليكنې په يوشميرملي اونړيوالو ويب پاڼو كي هم خپرې شوې دي . محمد شفیق حقپال دکابل دتخنیک ثانوی په مسلکی ښوونځي ، دپيښور دافغان سیدجمال الدین ، دمیدان وردگو ولایت دخالد بن ولید په لیسو کې دښوونکې په توگه ، په باختر اژانس کې دسیاسی مفسر، ملی راډیو تلویزیون کې دویاند، په ای دبیلو پی ار کې خبریال، او یوشمېر نورو ادارو کې دندې ترسره کړی دی.,pus,pus
"Loeiz XVI (Louis XVI e galleg), a voe roue Bro-C'hall ha Navarra (1774–1791) ha goude se roue ar C'hallaoued (1791–1792), a oa ganet d'an 23 a viz Eost 1754 e Versailles ha dibennet d'an 21 a viz Genver 1793 war Plasenn an Dispac'h (bet Plasenn Loeiz XV kent) e Pariz.",bre,bre
"1770-æм азы райдайæны А.В. Суворовæн радтой инæлар-майоры чин. Уыцы аз ма польшæйæгтыл фæуæлахиз цалдæр тохы. Уый тыххæй сентябры райста фыццаг хæрзиуæг — Сыгъдæг Аннæйы орден. Октябры йæ снысан, кодтой Люблины зылды уырысы æфсæдты командæгæнæгæй. Цæугæдон Вислæйы сæрты хизгæйæ, ахаудис æмæ йæ риу ныппырх кодта. Цалдæр мæйы йæхи дзæбæх кодта. 1771-æм азы майы Ландскрунмæ æввахс ныддæрæн кодта зындгонд францаг инæлар Ш. Дюмурьейы æфсæдты. Фæуæлахиз Замостьейы цур тохы дæр. Августы йын саккаг кодтой Уæрæсейы æппæты кадджындæр хæстон хæрзиуæг — Сыгъдæг Георгийы æртыккаг къæпхæны орден (цыппæрæм къæпхæны орден нæ райсгæйæ).",oss,rus
"14 ""Upévare, che pene Mbo'ehára ha pende Jára ajohéi ramo peẽme pende py, peẽ avei pejohéi vaerã ojupe pende py. 15 Che ahechauka peẽme mba'épa pejapo vaerã, peẽ pejapo haguã avei che ajapo haguéicha pende rehe. 16 Añetéko ha'e peẽme: ndaipóri tembiguái tuichavéva ijáragui, ha peteĩ ojejokuáiva niko michĩve ijokuaiharégui. 17 Ko'ã mba'e pehecha kuaa ha pejapo ramo, peikóta vy'apópe.""",grn,gug
"En cibernética, la homeostasis es el rasgo de los sistemas autorregulados (cibernéticos) que consiste en la capacidad para mantener ciertas variables en un estado estacionario, de equilibrio dinámico o dentro de ciertos límites, cambiando parámetros de su estructura interna.",spa,spa
"אורכו של הקצאל (ללא הזנב) כ-36 עד 40 ס""מ. הזנב ארוך מאוד, ואורכו עשוי להגיע, אצל הזכר, לכ-65 ס""מ. משקלו כ-210 גרם. זהו המין הגדול ביותר בסדרת הטרוגונאים. אצל הפרטים מתת-המין costaricensis אורך הגוף והזנב קטן יותר, והזנב צר יותר. צבע נוצות הקצאל משתנה לפי זווית ההסתכלות, ונע בין ירוק-זהבהב לכחול-סגלגל. הבטן אדומה. נוצות הכיסוי, שמכסות את הזנב, ירוקות בוהקות, וארוכות באופן יוצא דופן. לזכר יש ציצה. המקור צהוב אצל זכרים בוגרים, ושחור אצל הנקבות.",heb,heb
"1926: Аляксандр Надсан, беларускі рэлігійны дзеяч, апостальскі візітатар беларускіх католікаў у эміграцыі, дырэктар Беларускай бібліятэкі і музея імя Ф. Скарыны ў Лондане",bel,bel
"Jedan je od najčešćih glagola koji poprima razne oblike i izvedenice u psovkama glagol jebati. Dolazi od ie. *h3yebh- što je u sanskrtu dalo yabhati, a u slavenskim jezicima izvedenice poput jebati u hrvatskom, jebać u poljskom, ебать u ruskom i sl. Te su riječi srodne s grč. riječju zephyros (povezano s vjerovanjem da zapadni vjetar donosi trudnoću). Neki smatraju da su ove riječi izvedene od korijena *bhu- što znači ""biti"", ""rasti"" i ""graditi"". Ovaj glagol dolazi u raznim oblicima poput jeb'o ti pas mater (česta povezanost rodbinskih i životinjskih odnosa), jebem ti (glagol + neki oblik osobne zamjenice ili najčešća - jebi se.",hrv,hrv
"Ungari perämäne keskaignõ tukõv kuning oll' renessansiaignõ kuning Hunyadi Mátyás (1458–1490), Hunyadi Jánosi poig. Timä valimisõga sai edimäst kõrda troonilõ aadlimiis, kinkal es olõq kuningaverd. Tä oll' edokas sõapäälik ja valgustõt kunstõ ja tiidüse sõbõr. Timä raamadukogo (Bibliotheca Corviniana) oll' 15. aastagasaa Õuruupan kõgõ suurõmb aoluukroonikidõ, filosoofiliidsi ja tiidüstöie kogo. Suurusõ poolõst oll' tuust iin õnnõ Vatikani raamadukogo. Raamadukogo om UNESCO maailmaperändi nimekirän. Lihtsäq inemiseq peiväq tedä õigladsõs valitsõjas, tuuperäst et tä kaits' noid rikkide ülekohto iist. Timä valitsõmisaol, aastagal 1479, lei ungari sõavägi purus Türgü ja Valahhia väeq Kenyérmező tapõlusõn. Välämaal saiq Ungarilt lüvväq Poola ja S'aksamaa kuningliguq sõaväeq Wrocławin. Mátyási palgasõavägi, midä kutsuti Ungari Mustas Armees, oll' tuu ao kotsilõ väega suur armee ja vallut' Austria ja Böömimaa mõnõq osaq.",vro,ekk
"Pilar el ika sinco clase de municipalidad na provincia de Abra, Filipinas. Tiene este zona de 66.1 kilometro cuadrado y ta loca na unico distrito. Comporme del 2010 census este tiene papulidad de 9,908 personas. El designada codigo postal 2812.",cbk,tgl
"1189 ондо III Александр Папа, I Фридрих Барбаросса хаан, Англиин хаан I Ричард Арсаланай Зүрхэн, Франциин хаан II Филипп ударидалгаар гурбадахи добтолгоо эхилһэн. Гурбадугаар хэрээһэтэнэй аян дайнда Европын гурбан хүсэрхэг хаан ябаһан ябадалынь папада амжалтатай болохо этигэл түрүүлжэ байһан. Гэбэшье энэ үедэ мусульманшууд али хэзээнэй зохёон байгуулалтада орожо нэгдэһэн байгаа. Удаа дараалһан хэрээһэтэнэй добтолгоо тэдэниие хүсэрхэгжүүлһэн юм. Тэдэнэй хаан Саладин сайтар зэбсэглэһэн, туршалгатай, гурбан зуун мянга хүрэтэр хүнтэй армиие ударидажа байгаа. Шуһые адхаруулһан хатуу шэрүүн тулаан гурбан жэл үргэлжэлжэ, Бага Азиин Киликиин жаахан голые гаталха үеэр Фридрих уһанда шэнгэжэ үхээд, Ричард Саладинтай эбэй хэрээ байгуулһанаар дүүргэһэн юм. Англиин I Ричард Палестина хүрэхэ замдаа Сицилиие эзэлхэ гэһэниинь II Филипп, Германиин шэнэ эзэн хаан VI Генрихэй эсэргүүсэлтэй тулгарһан. Англишууд Кипр аралые л эзэлһэн. Ричард бусаха замдаа Германида баригдажа хоригдожо байгаад, хожом гүйжэ бусаһан гэдэг.",bxr,mon
"1966માં નેરુદાને ન્યુ યોર્ક સિટી ખાતે આંતરરાષ્ટ્રીય પીઇએન (PEN) સમારોહમાં હાજરી આપવા માટે આમંત્રણ અપાયું હતું. તેઓ સામ્યવાદી હોવાથી સત્તાવાર રીતે તેમને યુએસમાં પ્રવેશતા અટકાવાયા હતા, પરંતુ પરિષદના આયોજક, પટકથાકાર આર્થર મિલર અંતે નેરુદાને વિઝા આપવા માટે જ્હોન્સન વહીવટીતંત્ર પર હાવી થયા હતા. નેરુદાએ ખીચોખીચ ભરેલા ખંડમાં કાવ્યપઠન કર્યું હતું અને લાઇબ્રેરી ઓફ કોંગ્રેસ માટે કેટલીક કવિતાઓ રેકોર્ડ કરાવી હતી. મિલરે ત્યાર બાદ કહ્યું હતું કે નેરુદા 1930ના દાયકાના સામ્યવાદી વિચારધારાને વળગી રહ્યા હતા કારણ કે તેમને “મધ્યમવર્ગીય સમાજ”માંથી લાંબા સમય સુધી બાકાત રાખવામાં આવ્યા હતા. પૂર્વ બ્લોક ના અનેક લેખકોની હાજરીના કારણે મેક્સિકોના લેખક કાર્લોસ ફ્યુએન્ટેસે ત્યાર બાદ લખ્યું હતું કે પેન પરિષદથી શીત યુદ્ધના “અંતની શરૂઆત” થઇ હતી.",guj,guj
"I høgdedraga som ligg inntil byen er det ofte vedvarande vind, særleg om våren. Mykje av desse områda ligg innanfor bygrensene, og åsane her har ord på seg for å ha den mest stabile vinden i landet. Som eit resultat av dette er Palmerston North under aukande press mellom verksemder som vil byggja ut vindkraft for fornybar energi, og folk i lokalmiljøet som ønskjer å ta vare på den urørte naturen. Nær byen ligg likevel den største straumproduserande vindmølleparken på den sørlege halvkula, med 158 turbinar i Tararua og Ruahine Ranges. Parken sørgjer for elektrisk kraft til nesten 30 000 bustadar.",nno,nno
"ကျောက်ခေတ်ဟောင်း (Paleolithic ) ကာလဆိုသည်မှာ သမိုင်းမတင်မီ ကာလဖြစ်ပြီး ရှေးအကျဆုံးသော ကျောက်လက်နက် ကိရိယာများ စတင် အသုံးပြုလာကြသည့် အချိန် ဖြစ်သည်။ ကျောက်ခေတ်ဟောင်းကာလကို ဟိုမီးနန်လူ တို့ ကျောက်လက်နက်များကို စတင်အသုံးပြုခဲ့သည် လွန်ခဲ့သော နှစ်ပေါင်း ၂.၆ သန်းခန့်မှ စတင် ရေတွက်ပြီး လွန်ခဲ့သော နှစ်ပေါင်း ၁၀,၀၀၀ ခန့် အထိ ဖြစ်သည်။ ကျောက်ခေတ်ဟောင်း နောက်တွင် ကျောက်ခေတ်လယ် (Mesolithic) ဟု သတ်မှတ်သည်။ ကျောက်ခေတ်ဟောင်းနှင့် ကျောက်ခေတ်လယ်ကူးပြောင်းသည့် ကြားကာလ သည် နေရာဒေသကို လိုက်၍ နှစ်ထောင်ပေါင်းများစွာ ကွဲပြားခြားနားနိုင်သည်။",mya,mya
Pistoletą sukonstravo konstruktoriai Piotras Serdiukovas (Петр Сердюков) ir Igoris Beliajevas (Игорь Беляев) iš CMTI „TočMaš“ (Центральный научно исследовательский институт Точного машиностроения 'Centrinis Tiksliosios mašinų pramonės mokslinio tyrimo institutas') Klimovsko mieste (Rusija).,lit,lit
民國三十八年秋九月二十九，共和國政協一屆全會制中國政協綱領。一九五三年，政府以主席毛澤東等人卅餘草律。明年二月，初稿成，白政治局勘之。三月，以陳伯達領憲法小組，李維漢領憲法起草委員會辦公室，定稿呈上。五月一日，草憲委佈草案於天下，共議之。九月二十日，全國人大相商，計籌以定臧否，草案得全籌。乃行憲。是爲五四憲法。文革起，事多艱難，一九七五年，修憲，筆者陋不知法，去國家主席、副主席職，是爲七五憲法。毛澤東卒，華國鋒少改其文，餘多從舊，是爲七八憲法。一九八二年，中共撥亂反正。是歲，五屆人大五次會議議修憲，去諸冗辭，復置國家主席、副主席職，置中央軍委以將三軍，去最高國務會議、國防委員會。一九八八年，許民私營。許土地相易。一九九三年，八屆人大修憲。一九九九年，九屆人大廢反革命罪。二〇〇四年，十屆人大修憲，三個代表入文。遂成今本。凡四章一百三十八條。,lzh,cmn
"Drägerinschtituzione vu dr Arbetsstell Thüringisch Werterbuech sin d Friedrich-Schiller-Universität Jena (Filosofischi Fakultet, Inschtitut fir Germanistischi Sprochwisseschaft) un d Sächsisch Akademii vu dr Wisseschafte z Leipzig (Projäktbegleitendi Kommission „Dialäktwerterbiecher“) gsi.",als,gsw
"сяка валть вельде: 猫 (нэко) — ката, катот, 魚 (сакана) — кал, калхт, 自動車 (дзидо:ся) — автокрандаз, автокрандаст. Кода мокшекс ""колма кила кал"", ""вете сяда ломань"".",mdf,rus
"بعض المساهمات الهامة الأخرى لثقافة ما بعد الحداثة من الشخصيات الأدبية تشمل ما يلي: كان خورخي لويس بورخيس يجرب في الخيال الفوقي والواقعية السحرية؛ وكتب ويليام بوروز النموذج التقليدي لرواية ما بعد الحداثة الغداء العاري، وطور طريقة التقطيع (المشابهة بطريقة تريستان تزارا في ""كيف تصنع قصيدةً دادائية"") لإنشاء رواياتٍ أخرى مثل نوفا إكسبرس ؛ حاول صمويل بيكيت الهروب من شبح جيمس جويس من خلال التركيز على فشل اللغة وعجز الإنسانية عن التغلب على حالتها، وهي المواضيع التي تم استكشافها لاحقا في أعمالٍ مثل في انتظار غودو.",ara,ara
"Än Schobbe is die Meng, des in ä normals Glas, was mer zum trinke hernemme dud, noipasst. Des is n halwe Liter. De Schobbe is e aldes Hohlmaß, wo frieher a in annere Gäächende von Daitschland verbrait war. Bis hait gehall hat sichs awwer nur in de Palz, obwohl sogar im Bier- un Braueraimuseum in Pilsen (Tschechie) is de Schobbe als Maß fer Bier aus alde Zaite iwwerliffert.",pfl,deu
Julia Reda es un politico de Germania del Pirates Partise Germania. Ella nascet in li annu 1986 in Bonn (Germania). Julia Reda esset electet quam membre del Europan Parlament in li annu 2014 por li Pirates Partise Germania.,ile,epo
"Спустя несколько недель пошли слухи, что травма колена — лишь официальная версия отсутствия Овчинникова в заявке и, что руководство «драконов» хочет избавиться от российского вратаря. По материалам российской прессы, на Овчинникова претендовали «Аякс» и «Фиорентина». 23 декабря появилась информация, что переговоры об аренде голкипера ведёт прежний клуб Сергея — московский «Локомотив», по словам его тренера Юрия Сёмина.",rus,rus
順德菜（粵拼：seon6 dak1 coi3），又叫鳳城菜（「鳳城係順德嘅花名」），係廣東菜嘅其中一個系，起源自順德嗰頭。佢係起源自大明時期（14 至 17 世紀），以南海菜做基礎，集合咗番禺、新會、鶴山、中山嘅一啲傳統餸菜同技巧變化改良而整出嚟嘅。其他廚師都會模仿順德嘅廚師煮廣東菜，而大部分嘅廣東菜都係喺順德嗰度發源嘅－所以順德廚師可以話係廣東菜嘅祖師，而佢哋嘅地位高過其他粵港地區嘅廣東菜廚師好多。,zh-yue,yue
"De Dialektkringe Salland en OostVeluwe is een dialectverenige die op-ericht is op 5 november 1955. De Dialektkringe Salland en OostVeluwe hef as doel de Nedersaksische streektaal in Salland en op 't oostelijke deel van de Veluwe in stand te hollen, te bestuderen en te bevorderen. De verenige vörmp sinds 2003 met de Dialectkring Achterhook en Liemers en de verenige Vrienden van de streektaal Lochem en Umgeving 't Verbond van Nedersaksische Dialektkringen. Dit verbond gèèf vier keer in 't jaor 't tiedschrif De Moespot uut, daornaost gèèf 't soms ok andere streektaalliteretuur uut.",nds-nl,nds
بامشی ئون وزن معمولی ۲.۵ تا ۷ کیلوگرم بونه، هرچند بعضی گونه‌ئون دله بامشی سنگینی تا ۱۱.۳ کیلوگرم رسنه. بامشی ئون هم دئینه کا دلیکیسّه تا ۲۳ کیلوگرم وزن داشتنه.,mzn,fas
Amnesty International est istétia fundada a Londra in su 1961 de s'abogàu Peter Benenson a pustis de sa pubblicatziòni de s'artículu suu «The Forgotten Prisoners» in The Observer su 28 de maju de su 1961. S'idea de fundài s'organizatziòni est nascia a pustis de àiri ligiu in su 1961 unu artículu chi contaiat de duus piciócus portughesus chi fiant istétius impresonaus e cundannaus a seti annus de gallèra de sa ditadúra salazarista po àiri brindau a sa libbertàdi.,srd,srd
